Checksum,Name
76EDA244,change
586846AE,copyfile
71D1F73B,create
9A2F5EE4,createshortcut
5870C14F,exec
499C82D1,execmethod
17B828BC,execmethodasync
05245003,execquery
351133BE,execute
AA457483,movefile
AD52403E,put
C905475B,regwrite
50B71BEE,run
8CD32F79,terminate
0990B883,
22590A90,
3AE61276,
4F20C01F,
75792F23,
79F96CD0,
9514510C,
B40B0DF6,
C62F6218,
CE4738BB,
F015CC68,
